time;open;high;low;close
2002-06-03T07:00:00Z;10801.3;10801.3;10426.48;10657.7
2002-07-01T07:00:00Z;10657.7;10694.1;9198.0303;9239.0195
2002-08-01T07:00:00Z;9239.0195;9855.1201;8700.0498;9677.2598
2002-09-02T07:00:00Z;9677.2598;9991.2598;9327;9465.3301
2002-10-01T07:00:00Z;9465.3301;9802.54;9082.1201;9376.2305
2002-11-01T07:00:00Z;9376.2305;9870.5801;9144.21;9563.7402
2002-12-02T07:00:00Z;9563.7402;9649.7998;8959.3301;9277.2197
2003-01-02T07:00:00Z;9277.2197;9696.3096;8791.7998;8798.3496
2003-02-03T07:00:00Z;8798.3496;8970.21;8254.3398;8402.0898
2003-03-03T07:00:00Z;8402.0898;8451.5098;7622.9502;7679.8799
2003-04-01T07:00:00Z;7679.8799;8080.77;7322.4302;7510.3999
2003-05-01T07:00:00Z;7510.3999;8665.96;7510.3999;8564.3301
2003-06-02T07:00:00Z;8564.3301;8995.0801;8240.8203;8352.2002
2003-07-01T07:00:00Z;8352.2002;8882.4404;8270.6904;8809.6299
2003-08-01T07:00:00Z;8809.6299;9385.21;8705.9697;9226.2002
2003-09-01T07:00:00Z;9226.2002;9661.75;8925.6904;8925.6904
2003-10-01T07:00:00Z;8925.6904;9905.8799;8858.1104;9765.2998
2003-11-03T07:00:00Z;9765.2998;10003.34;9498.3896;9686.5596
2003-12-01T07:00:00Z;9729.5996;10437.7;9571.3203;10387.22
2004-01-02T07:00:00Z;10387.22;11135.48;10321.79;10837.59
2004-02-02T07:00:00Z;10849.25;11052.8;10620.46;10886.37
2004-03-01T07:00:00Z;10895.86;11295.17;10490.38;10671.75
2004-04-01T07:00:00Z;10692.56;11003.56;10381.4;10407.55
2004-05-03T07:00:00Z;10385.8;10605.99;9611.3301;10398.02
2004-06-01T07:00:00Z;10413.81;10499.02;9978.7803;10159.24
2004-07-01T07:00:00Z;10108.61;10305.96;9855.9502;10283.8
2004-08-02T07:00:00Z;10305.89;11205.38;10112.78;11149.58
2004-09-01T07:00:00Z;11160.44;11806.72;11096.19;11775.74
2004-10-01T07:00:00Z;11761;12187.18;11500.99;11696.05
2004-11-01T07:00:00Z;11655.31;12583.61;11655.31;12461.95
2004-12-01T07:00:00Z;12490.79;12675.77;12117.5;12656.86
2005-01-03T07:00:00Z;12656.86;12865.47;12436.92;12807.47
2005-02-01T07:00:00Z;12798.55;13494.49;12797.23;13479.08
2005-03-01T07:00:00Z;13476.59;13761.02;13127.39;13335.18
2005-04-01T07:00:00Z;13298.58;13437.09;12454.78;12536.21
2005-05-03T07:00:00Z;12555.96;13933.99;12555.96;13804.07
2005-06-01T07:00:00Z;13787.02;14377.84;13787.02;14135.46
2005-07-01T07:00:00Z;14154.73;15308.39;14018.57;15153.27
2005-08-01T07:00:00Z;15143.64;15871.65;15143.64;15416.16
2005-09-01T07:00:00Z;15414.01;16831.311;15394.81;16807.539
2005-10-03T07:00:00Z;16875.65;16875.65;15409.89;16357.34
2005-11-01T07:00:00Z;16433.1;17549.811;16352.88;16919.699
2005-12-01T07:00:00Z;16774.539;18218.25;16730.301;18096.539
2006-01-03T07:00:00Z;18096.539;19873.609;17968.859;19685.23
2006-02-01T07:00:00Z;19745.16;20314.84;18654.311;19289.57
2006-03-01T07:00:00Z;19085.35;20752.311;18294.221;20407.49
2006-04-03T07:00:00Z;20351.74;21353.949;20351.74;21112.27
2006-05-02T07:00:00Z;21135.51;22325.57;19628.26;20605.779
2006-06-01T07:00:00Z;20565.461;21349.76;18205.641;21211.449
2006-07-03T07:00:00Z;21237.869;21646.16;20092.5;20885.57
2006-08-01T07:00:00Z;20912.811;22183.619;20379.93;21953.801
2006-09-01T07:00:00Z;21951.891;22718.27;20847.631;22374.58
2006-10-02T07:00:00Z;22424.57;23648.4;22198.73;23338.16
2006-11-01T07:00:00Z;23344.82;24188.42;23114.369;23949.949
2006-12-01T07:00:00Z;23956.029;25075.99;23447.76;24915.199
2007-01-02T07:00:00Z;24959;25654.051;24011.619;25447.73
2007-02-01T07:00:00Z;25498.189;26981.25;25462.029;25795.99
2007-03-01T07:00:00Z;25854.59;27276.279;24754.52;27267.24
2007-04-02T07:00:00Z;27267.24;28636.1;27124.57;28170.6
2007-05-02T07:00:00Z;28250.529;29126.961;27779.41;28627.789
2007-06-01T07:00:00Z;28779.73;29714.33;27881.619;28337.221
2007-07-02T07:00:00Z;28149.211;30041.9;27714.449;28561.811
2007-08-01T07:00:00Z;27967.77;28695.039;25427.84;28660.35
2007-09-03T07:00:00Z;28687.02;30204.381;28191.141;29959.189
2007-10-01T07:00:00Z;30052.18;31728.18;29979.08;31334.99
2007-11-01T07:00:00Z;31485.891;31518.789;28707.92;30307.801
2007-12-03T07:00:00Z;30276.029;30710.09;27765.561;28957.971
2008-01-02T07:00:00Z;29058.82;29627.439;24005.35;27317.141
2008-02-01T07:00:00Z;27640.311;30691.029;26939.971;30673.74
2008-03-03T07:00:00Z;30237.631;31187.42;28239.1;29587.51
2008-04-01T07:00:00Z;29530.289;32130.75;29322.49;30743.49
2008-05-02T07:00:00Z;31177.84;33309.82;31163.1;31841.27
2008-06-02T07:00:00Z;32067.6;32172.43;29613.68;30413.43
2008-07-01T07:00:00Z;30428.461;30507.1;26828.08;27719.67
2008-08-01T07:00:00Z;27380.02;28170.07;25446.34;27702.061
2008-09-01T07:00:00Z;27558.9;27558.9;22388.15;23835.971
2008-10-01T07:00:00Z;23970.5;24114.67;17812.311;20991.721
2008-11-03T07:00:00Z;21284.92;22278.301;17770.971;21209.49
2008-12-01T07:00:00Z;21143.109;22410.061;19113.279;21509.199
2009-01-02T07:00:00Z;21672.15;23046.15;19395.57;20570.051
2009-02-02T07:00:00Z;20486.939;21685.1;18258.76;18465.33
2009-03-02T07:00:00Z;18370.539;21668.59;17953.961;20363.91
2009-04-01T07:00:00Z;20382.619;21580.49;19709.721;20647.029
2009-05-04T07:00:00Z;20966.68;22884.01;20925.07;22770.619
2009-06-01T07:00:00Z;23138.27;23868.801;21457.971;22049.42
2009-07-01T07:00:00Z;22147.23;24266.17;21648.529;24258.51
2009-08-03T07:00:00Z;24325.59;25368.08;23977.619;24929.42
2009-09-01T07:00:00Z;25108.039;26067.971;24380.49;24910.85
2009-10-01T07:00:00Z;25053.33;26937.859;24338.641;26360.551
2009-11-02T07:00:00Z;26123.99;27646.789;25545.33;26894.74
2009-12-01T07:00:00Z;26995.119;27935.381;26614.18;27666.449
2010-01-04T07:00:00Z;27674.52;28591.35;26409.551;26675.949
2010-02-01T07:00:00Z;26518.359;27474.02;25733.311;26764.609
2010-03-01T07:00:00Z;26881.73;29025.051;26843.91;28747.561
2010-04-01T07:00:00Z;28760.51;29565.1;28299.91;28635.76
2010-05-03T07:00:00Z;28485.789;28741.01;25833.891;27145.359
2010-06-01T07:00:00Z;27194.25;28214.75;25977.881;26258.82
2010-07-01T07:00:00Z;26193.539;28761.029;25969.631;28355.211
2010-08-02T07:00:00Z;28435.641;28908.59;26431.711;27253.869
2010-09-01T07:00:00Z;27333.75;29456.039;27310.381;29456.039
2010-10-01T07:00:00Z;29325.211;30498.891;29152.029;30430.9
2010-11-01T07:00:00Z;30516.68;31859.051;30248.561;30266.4
2010-12-01T07:00:00Z;30511.949;32227.23;30511.949;32118.891
2011-01-03T07:00:00Z;32117.199;32755.029;31135.461;31398.75
2011-02-01T07:00:00Z;31571.41;33334.551;31361.391;32272.09
2011-03-01T07:00:00Z;32423.15;32490.4;29944.24;32204.061
2011-04-01T07:00:00Z;32259.029;32914.199;31387.83;32836.23
2011-05-02T07:00:00Z;32772.039;32818.051;31193.439;32565.73
2011-06-01T07:00:00Z;32544.66;32550.369;30295.08;31864.539
2011-07-01T07:00:00Z;31891.539;32416.84;30974;31208.039
2011-08-01T07:00:00Z;31446.09;31495.529;28305.41;31005.5
2011-09-01T07:00:00Z;30969.859;31614.57;29320.801;29674.199
2011-10-03T07:00:00Z;29223.4;32894.109;28906.699;32348.539
2011-11-01T07:00:00Z;32125.211;32840.57;30803.57;32812.641
2011-12-01T07:00:00Z;32753.6;33034.148;31517.68;31985.67
2012-01-03T07:00:00Z;31985.67;34079.539;31985.67;33792.48
2012-02-01T07:00:00Z;33792.48;34460.57;33661.23;34296
2012-03-01T07:00:00Z;34296;34601.27;33323.262;33554.211
2012-04-02T07:00:00Z;33554.211;34456.352;33203.641;34399.039
2012-05-02T07:00:00Z;34399.039;34647.73;32730.92;33142.609
2012-06-01T07:00:00Z;33142.609;34808.922;32827.289;33708.309
2012-07-02T07:00:00Z;33708.34;35035.762;33382.57;34596.898
2012-08-01T07:00:00Z;34678.02;35943.602;34678.02;35389.449
2012-09-03T07:00:00Z;35310.738;36647.98;34985.871;35757.98
2012-10-01T07:00:00Z;35741.18;37339.828;35741.18;37156.281
2012-11-01T07:00:00Z;37056.512;38104.609;36756.102;38104.609
2012-12-03T07:00:00Z;38056.578;39489.621;37912.738;39250.238
2013-01-01T07:00:00Z;40042.07;40784.762;39646.211;40482.922
2013-02-01T07:00:00Z;40570.371;40983.012;39007.27;39709.559
2013-03-01T07:00:00Z;39777.078;41047.719;39735.121;39860.84
2013-04-02T07:00:00Z;39937;40117.449;37717.781;38735
2013-05-02T07:00:00Z;38826.852;42207.852;38740.859;42016.449
2013-06-03T07:00:00Z;41586.5;41619.57;37840.23;39578.102
2013-07-01T07:00:00Z;39385.949;41293.578;39169.828;41292.84
2013-08-01T07:00:00Z;41352.891;43349.148;41282.34;42228.34
2013-09-02T07:00:00Z;42407.699;44601.691;42328.512;44031.828
2013-10-01T07:00:00Z;43876.512;45676.012;42741.16;45517.559
2013-11-01T07:00:00Z;45485.461;46286.18;43963.488;44975.672
2013-12-02T07:00:00Z;44826.898;46290.199;42921.449;46256.23
2014-01-02T07:00:00Z;46410.012;47348.48;44945.898;45132.102
2014-02-03T07:00:00Z;45005;47616.852;44145.422;47328.922
2014-03-03T07:00:00Z;46896.711;48137.672;46070.98;47770.922
2014-04-01T07:00:00Z;47925.73;49069.629;47746.109;48870.102
2014-05-02T07:00:00Z;48893.672;50065.891;48736.281;49632.699
2014-06-02T07:00:00Z;49739.629;51397.109;49630.621;50945.262
2014-07-01T07:00:00Z;51051.988;52323.609;50699.059;51396.07
2014-08-01T07:00:00Z;51248.852;51862.77;50233.109;50959.02
2014-09-01T07:00:00Z;51093.219;52081.219;49131.879;49336.309
2014-10-01T07:00:00Z;49258.629;49722.879;46068.078;49722.879
2014-11-03T07:00:00Z;49682.578;50972.211;49216.66;49911.371
2014-12-01T07:00:00Z;49188.871;50254.078;46898.602;49770.602
2015-01-02T07:00:00Z;49764;51353.371;47831.039;51266.809
2015-02-02T07:00:00Z;51324.012;53615.422;51086.23;53344.199
2015-03-02T07:00:00Z;53531.949;53575.23;51422.199;52181.949
2015-04-01T07:00:00Z;52023.781;55355.121;51921.301;54440.43
2015-05-04T07:00:00Z;54899.699;55113.762;52270.859;52270.859
2015-06-01T07:00:00Z;52335.25;53083.66;51018.559;51806.949
2015-07-01T07:00:00Z;51877.16;53231.02;49592.398;52053.27
2015-08-03T07:00:00Z;51836.172;52930.559;46530.871;49972.328
2015-09-01T07:00:00Z;49637;52019.109;48493.039;50088.859
2015-10-01T07:00:00Z;50522.398;54635.559;50418.031;53793.738
2015-11-02T07:00:00Z;53599.629;54760.91;50989.148;51607.828
2015-12-01T07:00:00Z;51948.16;51973.738;47493.129;50693.762
2016-01-04T07:00:00Z;50275.719;50275.719;45975.781;49141.941
2016-02-01T07:00:00Z;49339.281;50434.359;47275.301;49415.309
2016-03-01T07:00:00Z;49463.871;53826.578;49462.031;52250.281
2016-04-01T07:00:00Z;51772.559;54039.172;50996.328;52957.32
2016-05-03T07:00:00Z;53203.531;54704.219;50923.422;53905.211
2016-06-01T07:00:00Z;53556;54422.238;50017.98;52217.719
2016-07-01T07:00:00Z;52674.68;53939.328;50786.738;52797.578
2016-08-01T07:00:00Z;53296.852;53838.012;51875.172;52733.121
2016-09-01T07:00:00Z;52882.051;53986.891;50757.82;51949.828
2016-10-03T07:00:00Z;52037.93;52224.23;50460.75;50590.078
2016-11-01T07:00:00Z;50704.691;51858.93;49402.141;50209.43
2016-12-01T07:00:00Z;50329.398;51211.031;48935.898;50653.539
2017-01-03T07:00:00Z;50851.512;53738.289;50338.301;52788.121
2017-02-01T07:00:00Z;53115.48;53287.262;51146.051;51146.051
2017-03-01T07:00:00Z;51273.18;52866.34;50737.281;52056.059
2017-04-03T07:00:00Z;52267.641;54002.949;52162.691;53817.309
2017-05-02T07:00:00Z;53871.34;54716.531;53286.609;53562.57
2017-06-01T07:00:00Z;53486.238;53549.789;50749.68;51611.012
2017-07-03T07:00:00Z;51667.301;55366.738;51491.801;55207.41
2017-08-01T07:00:00Z;55328.98;56896.891;54983.32;56522.109
2017-09-01T07:00:00Z;56602.191;56655.09;54894.109;55579.922
2017-10-02T07:00:00Z;55838.578;59038.371;55778.27;58980.109
2017-11-01T07:00:00Z;59387.93;61298.602;59185.211;59772.828
2017-12-01T07:00:00Z;59651.211;59998.051;57152.27;59504.672
2018-01-02T07:00:00Z;59728.852;61768.789;59008.781;59506.121
2018-02-01T07:00:00Z;59456.871;60038.352;55090.23;58325.09
2018-03-01T07:00:00Z;58272.66;59705.16;54572.352;55474.52
2018-04-03T07:00:00Z;55305.91;58252.121;53027.379;58252.121
2018-05-01T07:00:00Z;58269.738;58723.512;55274;56157.891
2018-06-01T07:00:00Z;56595.328;58793.988;54286.27;57610.98
2018-07-02T07:00:00Z;56696.469;58334.488;55090.5;57432.461
2018-08-01T07:00:00Z;57646.109;60298.84;55646.148;58668.48
2018-09-03T07:00:00Z;58594.281;59165.461;55030.262;55708.469
2018-10-01T07:00:00Z;55605.5;56017.801;50032.738;52388.871
2018-11-01T07:00:00Z;52503.57;55252.699;50344.621;50663.941
2018-12-03T07:00:00Z;52011.238;52801.371;50078.559;52736.859
2019-01-02T07:00:00Z;52259.738;54504.57;50907.449;54156.75
2019-02-01T07:00:00Z;54084.199;56688.629;53244.18;56002.078
2019-03-01T07:00:00Z;56039.809;57138.359;55144.23;56462.551
2019-04-01T07:00:00Z;56920.691;59544.801;56856.801;58528.398
2019-05-02T07:00:00Z;58606.531;59365.039;54107.18;55650.41
2019-06-03T07:00:00Z;55821.102;59273.23;55705.191;58203.84
2019-07-01T07:00:00Z;58683.531;58987.52;56784.609;56784.609
2019-08-01T07:00:00Z;56573.941;57223.609;53260.469;55259.57
2019-09-02T07:00:00Z;55353.441;57853.898;54344.75;54824.969
2019-10-01T07:00:00Z;54788.039;56775.238;53537.691;56425.109
2019-11-01T07:00:00Z;56408.84;58018.121;55057.27;55349.012
2019-12-02T07:00:00Z;55414.199;58046.469;54413.84;57084.102
2020-01-02T07:00:00Z;57308.672;59104.609;55529.328;56079.539
2020-02-03T07:00:00Z;56097.738;58270.719;50875.078;51038.18
2020-03-02T07:00:00Z;52231.98;53733.789;37177.922;44490.309
2020-04-01T07:00:00Z;43836.82;51227.879;42947.121;50336.719
2020-05-04T07:00:00Z;49191.469;52231.57;48366.488;50483
2020-06-01T07:00:00Z;51595.578;55635.949;50760.691;54362.359
2020-07-01T07:00:00Z;54306.859;57415.262;53572.969;55721.801
2020-08-03T07:00:00Z;55961.73;58092.121;55267.398;56057.102
2021-08-03T07:00:00Z;50028.935;50028.935;50028.935;50028.935
