time;open;high;low;close
2003-03-03T07:00:00Z;932.4;1023.975;930.735;970.695
2003-04-01T07:00:00Z;969.03;1157.175;969.03;1048.617
2003-05-01T07:00:00Z;1048.617;1132.2;1015.65;1098.9
2003-06-02T07:00:00Z;1082.25;1290.375;1042.29;1290.375
2003-07-01T07:00:00Z;1293.704933;1498.5;1292.04;1424.907
2003-08-01T07:00:00Z;1424.907;1448.55;1318.679933;1342.323067
2003-09-01T07:00:00Z;1345.320067;1481.85;1338.66;1458.54
2003-10-01T07:00:00Z;1458.54;1781.55;1405.26;1781.55
2003-11-03T07:00:00Z;1779.885;2191.140167;1741.59;2174.490167
2003-12-01T07:00:00Z;2174.490167;2427.57;2071.26;2328.119417
2004-01-02T07:00:00Z;2297.7;2569.095;2064.6;2497.5
2004-02-02T07:00:00Z;2497.5;2590.740167;2167.83;2239.425
2004-03-01T07:00:00Z;2239.425;2624.040167;2239.425;2624.040167
2004-04-01T07:00:00Z;2614.05;2910.42;2481.183;2514.15
2004-05-03T07:00:00Z;2514.15;2664;2339.325;2604.059834
2004-06-01T07:00:00Z;2604.059834;2880.45;2430.9;2649.015167
2004-07-01T07:00:00Z;2645.684834;2797.2;2589.075;2672.325
2004-08-02T07:00:00Z;2672.325;2730.267;2530.8;2634.03
2004-09-01T07:00:00Z;2640.69;2664;2414.206743;2430.9
2004-10-01T07:00:00Z;2447.55;2897.1;2447.55;2887.11
2004-11-01T07:00:00Z;2897.1;3446.55;2730.6;3297.033
2004-12-01T07:00:00Z;3296.7;3363.3;3036.96;3241.755
2005-01-03T07:00:00Z;3280.05;3629.7;3097.233;3605.5575
2005-02-01T07:00:00Z;3566.43;3873.123;3469.86;3731.37489
2005-03-01T07:00:00Z;3772.89;3896.1;3379.95;3568.91418
2005-04-01T07:00:00Z;3596.4;3646.35;3278.385;3562.11765
2005-05-03T07:00:00Z;3563.1;3875.787;3546.45;3734.58834
2005-06-01T07:00:00Z;3729.6;4005.99;3466.53;3629.7
2005-07-01T07:00:00Z;3643.02;4362.3;3596.4;4189.14
2005-08-01T07:00:00Z;4185.81;4329;3996;4251.90051
2005-09-01T07:00:00Z;4245.75;4328.334;4040.955;4195.8
2005-10-03T07:00:00Z;4200.795;4329;3817.845;4216.63248
2005-11-01T07:00:00Z;4220.775;4828.5;4189.14;4428.90999
2005-12-01T07:00:00Z;4395.6;4714.947;4330.665;4487.175
2006-01-03T07:00:00Z;4495.833;5061.6;4495.833;4953.02202
2006-02-01T07:00:00Z;4953.375;5694.3;4928.4;5427.9
2006-03-01T07:00:00Z;5494.5;5524.47;4931.73;5359.43187
2006-04-03T07:00:00Z;5511.15;5589.405;4562.433;4761.9
2006-05-02T07:00:00Z;4778.55;4895.1;4246.083;4761.9
2006-06-01T07:00:00Z;4667.994;4745.25;4030.965;4436.91198
2006-07-03T07:00:00Z;4195.8;4478.85;3966.03;4355.64
2006-08-01T07:00:00Z;4361.634;4645.35;4229.1;4635.39663
2006-09-01T07:00:00Z;4558.77;4678.65;4279.05;4477.69782
2006-10-02T07:00:00Z;4484.178;4761.9;4413.915;4553.442
2006-11-01T07:00:00Z;4578.084;4845.15;4258.404;4481.82369
2006-12-01T07:00:00Z;4462.866;4813.515;4365.63;4703.86143
2007-01-02T07:00:00Z;4711.95;5361.966;4711.95;5254.74
2007-02-01T07:00:00Z;5394.6;5844.15;5178.15;5428.62927
2007-03-01T07:00:00Z;5411.25;5694.3;5178.15;5557.9365
2007-04-02T07:00:00Z;5626.035;6027.3;5463.198;5777.55
2007-05-02T07:00:00Z;5777.883;6048.945;5427.9;5710.95
2007-06-01T07:00:00Z;5627.7;6205.455;5561.433;5940.72
2007-07-02T07:00:00Z;5601.06;5960.7;5369.292;5627.7
2007-08-01T07:00:00Z;5527.134;5918.409;5077.917;5867.46
2007-09-03T07:00:00Z;6080.58;6494.166;5661;5777.55
2007-10-01T07:00:00Z;5777.55;6233.76;5664.33;5894.1
2007-11-01T07:00:00Z;5934.06;6010.65;4728.6;4845.15
2007-12-03T07:00:00Z;4865.13;5294.7;4546.782;4595.4
2008-01-02T07:00:00Z;4662;4814.514;3829.833;4680.315
2008-02-01T07:00:00Z;4728.267;4758.57;4295.7;4695.3
2008-03-03T07:00:00Z;4628.7;5076.585;4362.3;4368.96
2008-04-01T07:00:00Z;4440.555;4545.45;4195.8;4280.715
2008-05-02T07:00:00Z;4329;4662;4229.1;4562.1
2008-06-02T07:00:00Z;5228.1;5261.4;4663.665;4711.95
2008-07-01T07:00:00Z;4712.283;4795.2;4212.45;4628.7
2008-08-01T07:00:00Z;4645.35;4881.78;4336.326;4642.353
